sample,priority_rank,task_id,deadline,dm_misses,edf_misses,dm_miss_fraction,edf_miss_fraction
46,5,5,789,0,0,0.0,0.0
47,0,2,23,0,7,0.0,0.4117647058823529
47,1,0,98,0,1,0.0,0.058823529411764705
47,2,5,112,0,6,0.0,0.35294117647058826
47,3,3,179,0,1,0.0,0.058823529411764705
47,4,1,192,57,2,0.95,0.11764705882352941
47,5,4,325,3,0,0.05,0.0
48,0,4,4,0,0,0.0,0.0
48,1,1,12,0,0,0.0,0.0
48,2,3,141,0,0,0.0,0.0
48,3,0,164,0,0,0.0,0.0
48,4,2,745,0,0,0.0,0.0
48,5,5,780,0,0,0.0,0.0
49,0,0,13,0,0,0.0,0.0
49,1,2,23,0,0,0.0,0.0
49,2,4,27,0,0,0.0,0.0
49,3,3,37,0,0,0.0,0.0
49,4,1,144,0,0,0.0,0.0
49,5,5,190,0,0,0.0,0.0
